ID_Country,Country,Employee_Pay_ST,Track,Level_Cat,Level,Effective_Start_DT,Effective_Ending_DT,Termination_Reason,Birth_DT,Edad,Marital_CD,Marital_ST,Gender,SBR_AMT,SCR_AMT,Region,Office,Area,Division,Department_CD,Department,Billiability,Technology,Business_Unit,Std_Hrs_Week,Prime_Skills_CD,Prime_Skills,2020,2019,Months_Worked,Level_Cat,Proportional_Days,Days_Taken,Vacation_Ratio,Number_Unique_Projects,Number_Unique_Project_Type,Abscence_Projects,Administrative_Functions,Awaiting_Projects,Billable_Projects,Corporate_Funded_Projects,Cost_Centers,Indirect_Cost_Centers,Internal_Investment_Projects,Internal_Programs,Proposals,Proposals_General,Training_Programs,Increase_2018_2019,Increase_2019_2020,Bonus_2018,Bonus_2019,Course_Viewed,Logs_Course_Viewed,Logs_Global_Campus,Media_hora_curso,Estado,Total_number_received_Feedback,Performance_feedback_AVG,Performance_Level_CD,Performance_Level,Potential_Level_CD,Potential_Level,Track_Code,TotalNumberOfficeEmployees
2,MX,Active,SYINCO,5,Sr. Consultant,12/01/2001,1/29/2021,Still Active,16/09/1971,49,2,M,0,106.8,30.5,15,33,7,33,9,S51,100,3,53,42.5,13,Other,1,0,229,5,23.1452,0,0,44,7,163.2,9.175,123.9,3336.05,0,44.2,0,0,0,6.15,0,4.1,0,20,0,0,8,27,196,16,Activo,0,91.78924766,2,Medium,0,No Employee info,8,1441
2,MX,Active,DEVELO,5,Sr. Consultant,8/23/2018,1/29/2021,Still Active,10/10/1966,54,2,M,0,79.21,22.58,14,33,24,0,6,Other,0,1,54,42.5,13,Other,1,0,29,5,18.36264,10,54.45840032,27,9,48.45,73.15,71.65,420.3,8.5,9.35,0,0,0,19.55,63.6,2,0,20,0,0,5,11,158,10,Activo,19,91.63,2,Medium,0,No Employee info,3,1441
2,MX,Active,CONSUL,6,Manager / Master,08/01/2009,1/29/2021,Still Active,03/09/1972,48,2,M,0,161.5,46.1,15,33,7,0,6,Other,100,1,1,42.5,6,IT,1,0,137,6,45.93407,11,23.9473663,14,2,205.7,0,0,2305.2,0,0,0,0,0,0,0,0,100,20,100,100,1,1,13,2,Activo,0,91.78924766,0,High,0,No Employee info,2,1441
2,MX,Active,MNGSER,3,Experienced Consultant,11/16/2017,1/29/2021,Still Active,22/11/1970,49,2,M,1,42,12,14,33,7,35,7,S04,100,1,56,42.5,13,Other,1,0,38,3,20.032967,7,34.94240269,23,5,46.75,7.45,0,1745.85,0,257.7,0,0,0,0,0,2.35,0,20,0,0,7,33,218,14,Activo,0,91.78924766,2,Medium,0,No Employee info,4,1441
2,MX,Active,PROJCT,6,Manager / Master,10/01/1995,1/29/2021,Still Active,25/06/1974,46,1,S,1,172,49.1,15,33,7,39,17,T25,100,1,55,42.5,18,PROJECT MANAGER,1,0,303,6,219.0989,24,10.95395732,50,9,343.4,169.225,15.117,3635.395,0,104.75,0,0,4.75,40.95,3.4,82.065,100,20,100,100,2,4,49,4,Activo,2,50,2,Medium,1,RISING TALENT,5,1441
2,MX,Active,DEVELO,6,Sr. Manager / SME,01/01/1996,1/29/2021,Still Active,11/05/1973,47,2,M,0,196.1,56,15,33,7,36,6,Other,100,1,54,42.5,0,.NET DEVELOPER,1,0,300,6,117.1068,32,27.32548409,50,7,207.4,0,0,3944.575,0,76.5,0,35.1,0,12.2,5.1,29.3,100,20,100,100,3,4,31,6,Activo,10,95.8,2,Medium,1,RISING TALENT,3,1441
2,MX,Active,PROJCT,4,Project / Technical Lead,5/18/2018,1/29/2021,Still Active,13/12/1972,47,2,M,1,103.3,29.5,15,33,7,0,6,Other,100,1,1,42.5,17,PROJECT LEADER,1,0,32,4,13.02747,1,7.676087529,25,6,27.2,2.45,0,719.35,0,18.7,0,0,0,8.85,0,1.25,0,20,0,0,9,18,151,18,Activo,0,91.78924766,0,High,0,No Employee info,5,1441
2,MX,Active,SYINCO,5,Sr. Consultant,7/24/1996,1/29/2021,Still Active,15/10/1973,47,2,M,0,115.8,33,15,33,7,0,6,Other,100,1,55,42.5,20,SAP,1,0,294,5,55.64835,12,21.56398168,50,9,255.45,125.5,36.1,3497.45,0,154.1,0,8.88E-16,0,10.05,9.25,24.45,0,20,0,0,5,8,31,10,Activo,0,91.78924766,2,Medium,1,RISING TALENT,8,1441
2,MX,Active,SYINCO,6,Manager / Master,09/02/1996,1/29/2021,Still Active,13/05/1972,48,2,M,0,180.3,51.5,15,33,7,39,17,T25,100,3,55,42.5,12,ORACLE,1,0,292,6,125.01099,24,19.19831208,50,9,238.85,8.5,18.7,3694.46,0,117.3,0,0.85,0,64.95,15.05,38.7,100,20,100,100,8,11,162,16,Activo,1,100,0,High,0,No Employee info,8,1441
2,MX,Active,DEVELO,5,Sr. Consultant,10/15/2018,1/29/2021,Still Active,16/03/1973,47,2,M,0,146.6,41.9,15,33,7,36,11,S64,100,1,54,42.5,0,.NET DEVELOPER,1,0,27,5,8.906593,6,67.36582664,20,7,27.2,37.8,15.3,738.1,0,31.35,0,0,0,0,86.7,38.7,0,20,0,0,4,24,128,8,Activo,2,88,2,Medium,0,No Employee info,3,1441
